age,income_k,hours_week,education_years,state,gender,high_income
58,56.75,14,12,FL,M,0
48,76.68,36,18,NY,M,1
34,40.0,53,18,WA,M,1
62,24.62,60,14,FL,M,0
27,59.85,47,16,MA,M,1
40,28.46,56,14,WA,F,0
58,32.25,28,14,TX,M,0
38,57.42,33,16,MA,F,1
42,47.52,23,14,NY,F,0
30,39.69,34,14,FL,M,0
30,51.03,48,16,TX,M,1
43,43.86,42,14,TX,M,0
55,78.34,49,8,WA,F,1
59,39.86,31,12,TX,M,0
43,36.3,31,12,NY,F,0
22,43.17,42,16,NY,M,0
41,43.81,34,14,CA,M,0
21,58.93,53,16,NY,F,1
43,20.13,34,14,MA,F,0
63,56.39,35,14,TX,M,1
49,41.88,44,12,NY,F,0
57,61.65,36,14,WA,F,1
21,49.29,28,16,CA,F,0
40,57.78,29,18,TX,F,1
52,44.13,45,12,CA,F,0
31,56.57,26,8,TX,M,0
41,74.96,54,12,WA,M,1
63,38.91,33,8,CA,F,0
44,48.39,46,16,FL,M,1
68,42.71,34,12,MA,M,0
46,73.89,31,14,MA,F,1
61,43.49,42,14,TX,M,0
47,39.01,51,10,FL,F,0
35,41.33,38,12,CA,F,0
34,47.96,39,12,FL,M,0
66,38.1,48,12,FL,F,0
63,44.47,48,12,CA,F,0
22,52.36,40,16,WA,F,1
56,48.27,36,12,FL,F,0
26,62.48,41,20,FL,F,1
40,45.21,38,12,WA,M,0
28,46.93,43,16,FL,M,1
58,54.07,28,14,FL,F,0
37,83.67,43,16,FL,F,1
23,38.19,33,16,MA,M,0
44,78.85,49,14,NY,F,1
33,32.25,33,14,WA,M,0
69,53.43,33,14,FL,F,0
28,44.91,44,14,MA,F,0
45,37.77,40,8,WA,F,0
21,60.49,63,12,TX,F,1
39,59.0,24,14,TX,F,0
47,42.78,41,14,FL,F,0
66,18.59,51,16,MA,F,0
26,43.7,34,16,MA,M,0
63,52.09,31,20,WA,M,1
27,50.03,31,12,WA,M,0
66,61.34,24,12,MA,F,0
54,79.0,53,12,WA,F,1
33,56.21,37,14,MA,F,1
36,58.52,36,16,NY,F,1
55,52.22,19,12,MA,F,0
69,67.59,26,16,TX,F,1
59,57.97,55,12,WA,F,1
23,61.24,43,14,MA,M,1
21,77.13,52,14,MA,F,1
25,53.4,50,12,WA,M,0
61,45.94,30,14,NY,M,0
23,56.69,64,12,NY,F,1
48,67.04,59,10,WA,F,1
37,57.52,34,12,CA,M,0
45,65.91,5,10,WA,M,0
63,39.97,36,12,WA,F,0
53,36.98,42,14,NY,F,0
29,41.82,34,14,NY,M,0
55,30.99,38,16,WA,F,0
33,51.65,32,10,WA,F,0
50,43.55,49,16,WA,F,1
67,68.45,41,12,NY,M,1
34,30.63,50,12,WA,M,0
27,73.32,52,18,WA,M,1
33,35.28,18,8,FL,F,0
42,31.43,32,14,CA,F,0
59,37.63,34,14,TX,M,0
40,79.27,66,12,CA,M,1
35,49.4,41,12,FL,M,0
64,57.94,48,12,TX,F,1
37,47.24,21,18,WA,M,1
66,48.65,41,12,FL,M,0
43,42.41,50,12,WA,F,0
45,50.76,49,12,NY,F,0
44,57.42,46,16,MA,F,1
64,75.17,40,10,FL,M,1
60,21.88,41,12,NY,F,0
48,74.16,23,14,FL,F,1
34,57.92,31,18,FL,M,1
64,44.48,42,12,NY,F,0
20,41.78,33,12,TX,M,0
44,65.66,47,12,CA,M,1
26,53.43,45,14,WA,F,1
28,26.99,54,12,FL,F,0
43,55.45,50,14,WA,F,1
20,67.17,42,16,MA,F,1
63,62.87,47,16,NY,F,1
27,40.6,50,12,WA,F,0
43,29.87,35,18,NY,M,0
30,45.11,37,14,WA,M,0
36,98.81,39,14,CA,F,1
27,26.83,35,8,CA,M,0
54,37.36,50,20,CA,F,1
54,55.88,34,10,CA,M,0
52,48.13,53,12,CA,M,0
24,47.0,36,10,CA,M,0
61,80.37,45,14,NY,F,1
58,37.2,42,12,FL,M,0
60,49.79,30,12,WA,F,0
47,53.03,40,10,CA,M,0
26,37.93,43,10,NY,M,0
28,28.39,39,14,NY,M,0
27,54.04,27,16,NY,M,1
31,77.2,57,12,FL,M,1
53,56.07,41,14,WA,F,1
52,51.35,32,16,FL,F,1
67,51.24,56,8,TX,M,0
42,46.12,46,12,NY,M,0
43,67.75,28,20,TX,M,1
56,42.42,30,14,MA,M,0
54,29.65,38,12,CA,F,0
63,26.28,43,14,CA,M,0
59,51.19,46,12,FL,F,0
41,65.91,50,14,WA,M,1
46,53.56,45,10,TX,F,0
54,45.24,53,10,WA,M,0
20,56.88,41,10,FL,M,0
54,52.79,32,18,CA,F,1
56,62.39,40,16,WA,M,1
