age,income_k,hours_week,education_years,state,gender,high_income
68,50.62,61,20,CA,M,1
62,56.65,56,14,WA,M,1
55,64.27,47,12,NY,M,1
32,34.68,32,14,FL,M,0
51,57.1,40,10,MA,M,0
36,45.99,38,18,MA,F,1
60,62.7,43,10,NY,F,0
55,18.09,55,12,FL,F,0
65,48.51,49,16,NY,M,1
38,40.96,29,14,FL,F,0
54,56.48,54,12,MA,M,1
65,57.05,43,14,TX,M,1
59,39.39,47,18,CA,F,1
47,39.32,55,12,TX,M,0
20,48.34,29,18,CA,F,1
61,36.55,40,10,MA,F,0
37,62.63,35,16,TX,M,1
67,44.46,24,16,TX,F,0
59,10.0,43,12,NY,F,0
52,44.38,65,12,WA,F,0
31,34.42,22,12,MA,F,0
27,25.53,40,16,FL,M,0
43,31.44,46,14,MA,F,0
35,51.64,41,14,FL,F,0
69,69.93,39,12,FL,F,1
23,54.7,27,12,CA,M,0
57,40.9,42,8,FL,F,0
63,56.84,32,12,FL,M,0
46,43.11,18,14,NY,F,0
28,39.58,52,18,TX,F,1
66,32.68,50,16,MA,F,0
35,23.72,41,12,MA,M,0
31,44.15,42,20,FL,M,1
50,52.37,51,16,WA,M,1
43,48.55,42,18,MA,M,1
33,43.76,49,14,FL,M,0
64,35.81,37,12,CA,M,0
44,59.12,53,10,CA,F,0
53,30.24,43,16,CA,M,0
22,61.64,42,10,FL,F,0
43,34.97,27,12,NY,M,0
61,38.71,43,14,WA,M,0
28,28.0,32,14,FL,M,0
45,42.48,34,14,NY,F,0
39,64.63,32,12,NY,M,1
59,57.73,29,12,MA,M,0
29,64.68,61,14,FL,F,1
38,57.83,53,20,FL,F,1
22,33.44,59,16,NY,F,0
43,45.04,28,18,NY,F,1
24,38.3,41,16,NY,M,0
22,69.96,27,14,MA,F,1
46,32.05,33,12,FL,M,0
35,63.41,31,16,NY,M,1
68,63.39,52,14,CA,F,1
34,77.44,36,14,FL,M,1
54,43.85,51,14,MA,F,0
31,60.68,46,14,CA,M,1
60,84.22,63,12,TX,F,1
63,40.74,25,14,FL,F,0
45,26.97,53,12,TX,F,0
66,21.8,51,16,NY,F,0
53,60.69,30,12,MA,F,0
42,21.75,50,10,NY,F,0
50,44.42,43,12,MA,M,0
69,56.56,38,16,WA,M,1
39,52.78,32,12,NY,M,0
31,56.38,33,12,TX,F,0
42,53.33,60,14,MA,M,1
23,69.18,40,12,NY,F,1
