age,income_k,hours_week,education_years,state,gender,high_income
59,58.01,12,12,FL,M,0
47,74.23,37,18,NY,M,1
33,43.54,55,18,WA,M,1
60,28.3,59,14,FL,M,0
29,61.03,48,16,MA,M,1
39,32.44,58,14,WA,F,0
58,32.96,28,14,TX,M,0
38,58.96,33,16,MA,F,1
42,50.04,22,14,NY,F,0
31,40.05,33,14,FL,M,0
29,47.93,47,16,TX,M,1
41,45.44,41,14,TX,M,0
53,77.4,50,8,WA,F,1
58,39.06,30,12,TX,M,0
42,36.9,31,12,NY,F,0
22,44.3,42,16,NY,M,1
43,44.11,35,14,CA,M,0
20,60.2,52,16,NY,F,1
42,18.72,34,14,MA,F,0
63,56.3,36,14,TX,M,1
48,43.58,45,12,NY,F,0
57,65.2,35,14,WA,F,1
22,53.54,27,16,CA,F,1
41,58.65,28,18,TX,F,1
54,45.81,47,12,CA,F,0
34,60.53,27,8,TX,M,0
42,73.62,54,12,WA,M,1
66,40.17,35,8,CA,F,0
43,49.93,46,16,FL,M,1
71,45.61,35,12,MA,M,0
45,71.62,31,14,MA,F,1
61,41.61,42,14,TX,M,0
47,39.05,51,10,FL,F,0
35,42.09,38,12,CA,F,0
34,50.21,40,12,FL,M,0
65,39.14,49,12,FL,F,0
64,44.17,49,12,CA,F,0
21,53.19,40,16,WA,F,1
57,48.87,35,12,FL,F,0
28,65.97,43,20,FL,F,1
39,45.54,38,12,WA,M,0
29,46.16,43,16,FL,M,1
59,54.97,29,14,FL,F,0
40,84.07,43,16,FL,F,1
22,35.05,34,16,MA,M,0
45,78.82,50,14,NY,F,1
31,32.05,33,14,WA,M,0
68,52.34,35,14,FL,F,0
29,46.98,44,14,MA,F,0
47,36.2,40,8,WA,F,0
19,61.4,63,12,TX,F,1
40,58.7,23,14,TX,F,0
47,43.0,42,14,FL,F,0
64,19.41,54,16,MA,F,0
26,41.08,34,16,MA,M,0
66,52.47,32,20,WA,M,1
25,54.61,31,12,WA,M,0
66,58.23,24,12,MA,F,0
53,78.88,55,12,WA,F,1
32,58.46,36,14,MA,F,1
38,59.12,35,16,NY,F,1
55,53.6,19,12,MA,F,0
71,62.84,27,16,TX,F,1
61,59.17,55,12,WA,F,1
22,59.72,43,14,MA,M,1
20,77.75,52,14,MA,F,1
24,53.34,51,12,WA,M,0
60,50.5,27,14,NY,M,0
24,57.78,63,12,NY,F,1
48,66.81,59,10,WA,F,1
